Lat (DD),Long (DD),Depth
51.325447905,-003.500052551,-17.175
51.325459078,-003.500061489,-17.269
51.325452488,-003.500043784,-17.102
51.325458562,-003.500037596,-17.025
51.325470078,-003.500080167,-17.362
51.325468990,-003.500061317,-17.291
51.325461942,-003.500044816,-17.093
51.325468646,-003.500025220,-16.969
51.325469448,-003.500023444,-16.988
51.325476553,-003.500079365,-17.346
51.325474605,-003.500074953,-17.303
51.325471282,-003.500043441,-17.159
51.325471969,-003.500028716,-17.008
51.325478501,-003.500012272,-16.921
51.325487267,-003.500097814,-17.364
51.325485777,-003.500083834,-17.323
51.325487725,-003.500068421,-17.318
51.325485548,-003.500043211,-17.227
51.325483142,-003.500025106,-17.033
51.325482855,-003.500009120,-16.926
51.325485892,-003.500004537,-16.920
51.325492080,-003.499987520,-16.996
51.325492882,-003.497610433,-19.317
51.325502393,-003.500108242,-17.354
51.325493054,-003.500088876,-17.355
51.325500903,-003.500061317,-17.330
51.325496664,-003.500043956,-17.246
51.325493054,-003.500027054,-17.088
51.325496377,-003.500007115,-16.955
51.325499528,-003.499994395,-16.900
51.325499758,-003.499979384,-16.906
51.325501362,-003.499969987,-17.057
51.325502107,-003.499063855,-17.946
51.325502565,-003.499053713,-17.940
51.325504055,-003.497843626,-19.351
51.325502737,-003.497816239,-19.296
51.325501877,-003.497798420,-19.188
51.325501706,-003.497794123,-19.140
51.325500903,-003.497778023,-19.140
51.325500044,-003.497759573,-19.209
51.325501304,-003.497741525,-19.257
51.325498153,-003.497720383,-19.315
51.325502966,-003.497690704,-19.268
51.325502336,-003.497678729,-19.193
51.325495690,-003.497668932,-19.193
51.325494945,-003.497653175,-19.226
51.325493741,-003.497627679,-19.288
51.325497065,-003.497611521,-19.351
51.325501591,-003.497598973,-19.391
51.325506576,-003.500117524,-17.342
51.325506461,-003.500109904,-17.331
51.325504914,-003.500084063,-17.349
51.325513910,-003.500061260,-17.249
51.325509440,-003.500043498,-17.215
51.325508982,-003.500035305,-17.205
51.325504341,-003.500008089,-17.014
51.325506003,-003.499992848,-16.926
51.325511790,-003.499974628,-16.897
51.325514654,-003.499969586,-16.911
51.325515342,-003.499951710,-16.969
51.325514769,-003.499095367,-17.977
51.325514425,-003.499078064,-17.972
51.325505831,-003.499060302,-17.938
51.325507321,-003.499047353,-17.956
51.325508982,-003.499034003,-18.005
51.325515170,-003.498077107,-18.772
51.325514311,-003.498058428,-18.774
51.325513680,-003.498045709,-18.818
51.325512878,-003.498029207,-18.910
51.325512019,-003.498010758,-19.080
51.325510816,-003.497984803,-19.078
51.325510357,-003.497975292,-19.106
51.325509555,-003.497958390,-19.170
51.325508524,-003.497937133,-19.234
51.325513222,-003.497906881,-19.282
51.325515457,-003.497899432,-19.267
51.325514597,-003.497882358,-19.324
51.325504570,-003.497854169,-19.274
51.325504284,-003.497849012,-19.311
51.325513508,-003.497816354,-19.263
51.325514826,-003.497798878,-19.152
51.325512076,-003.497787591,-19.151
51.325505258,-003.497779054,-19.173
51.325504341,-003.497760261,-19.255
51.325506805,-003.497738431,-19.311
51.325514311,-003.497707492,-19.321
51.325511217,-003.497690417,-19.244
51.325504742,-003.497682740,-19.185
51.325514368,-003.497668817,-19.218
51.325509498,-003.497645899,-19.269
51.325507091,-003.497635299,-19.336
51.325509498,-003.497615876,-19.372
51.325523879,-003.500135228,-17.337
51.325521072,-003.500132364,-17.340
51.325524108,-003.500097757,-17.361
51.325520327,-003.500080855,-17.350
51.325524910,-003.500061603,-17.228
51.325523077,-003.500053467,-17.215
51.325516946,-003.500030320,-17.242
51.325515628,-003.500007917,-17.163
51.325518952,-003.499989640,-16.996
51.325518665,-003.499973540,-16.907
51.325525140,-003.499956064,-16.856
51.325522103,-003.499950449,-16.860
51.325525369,-003.499117140,-18.004
51.325525655,-003.499091930,-17.964
51.325523994,-003.499086830,-17.948
51.325519181,-003.499072564,-17.960
51.325519009,-003.499054057,-18.004
51.325517405,-003.499034920,-18.024
51.325524509,-003.499014236,-18.145
51.325526515,-003.498318723,-18.877
51.325526400,-003.498308754,-18.867
51.325524968,-003.498284689,-18.856
51.325524509,-003.498275694,-18.885
51.325523535,-003.498254609,-18.850
51.325525197,-003.498238509,-18.826
51.325526400,-003.498212898,-18.694
51.325525197,-003.498203845,-18.796
51.325525025,-003.498185396,-18.865
51.325523650,-003.498167405,-18.896
51.325525311,-003.498143512,-18.530
51.325517290,-003.498121110,-18.848
51.325523306,-003.498103692,-18.760
51.325522790,-003.498091201,-18.721
51.325519811,-003.498076476,-18.773
51.325521473,-003.498058657,-18.772
51.325525197,-003.498047714,-18.793
51.325524738,-003.498028634,-18.895
51.325522848,-003.498001476,-19.033
51.325516602,-003.497993569,-19.049
51.325515800,-003.497974032,-19.147
51.325517290,-003.497954265,-19.231
51.325517118,-003.497932779,-19.281
51.325522447,-003.497905563,-19.277
51.325515686,-003.497903386,-19.264
51.325523535,-003.497886827,-19.299
51.325526285,-003.497853653,-19.280
51.325525884,-003.497845689,-19.212
51.325526629,-003.497817901,-19.199
51.325519868,-003.497797331,-19.153
51.325517233,-003.497785930,-19.149
51.325520155,-003.497778309,-19.211
51.325521358,-003.497760834,-19.270
51.325525483,-003.497726456,-19.342
51.325524910,-003.497707606,-19.213
51.325524509,-003.497703595,-19.201
51.325519467,-003.497684459,-19.241
51.325516488,-003.497668416,-19.256
51.325517290,-003.497644581,-19.315
51.325518436,-003.497627793,-19.370
51.325521816,-003.497612552,-19.372
51.325529322,-003.500140843,-17.330
51.325532874,-003.500131733,-17.337
51.325527088,-003.500096955,-17.358
51.325535281,-003.500079422,-17.283
51.325528004,-003.500061260,-17.230
51.325529895,-003.500058166,-17.231
51.325528635,-003.500036622,-17.276
51.325527832,-003.500008261,-17.274
51.325528405,-003.499991072,-17.067
51.325529437,-003.499971534,-16.927
51.325534250,-003.499962424,-16.844
51.325532874,-003.499950564,-16.837
51.325536771,-003.499921973,-16.861
51.325530984,-003.499128599,-17.960
51.325528348,-003.499123213,-17.964
51.325528749,-003.499091013,-17.939
51.325530525,-003.499089179,-17.942
51.325529895,-003.499071131,-17.986
51.325528921,-003.499052166,-18.035
51.325531729,-003.499036467,-18.094
51.325532989,-003.499014294,-18.172
51.325534765,-003.499000887,-18.223
51.325537458,-003.498552662,-18.482
51.325536713,-003.498535931,-18.418
51.325536541,-003.498531806,-18.437
51.325535797,-003.498515591,-18.547
51.325537229,-003.498491069,-18.688
51.325537859,-003.498471015,-18.754
51.325533161,-003.498456462,-18.718
51.325536083,-003.498434804,-18.743
51.325533734,-003.498413891,-18.739
51.325530353,-003.498394296,-18.543
51.325535052,-003.498388223,-18.667
51.325531614,-003.498368456,-18.693
51.325530926,-003.498353043,-18.807
51.325537057,-003.498328922,-18.768
51.325533734,-003.498311160,-18.773
51.325536599,-003.498293627,-18.798
51.325530468,-003.498268589,-18.833
51.325527030,-003.498246530,-18.853
51.325529437,-003.498245957,-18.776
51.325536312,-003.498223555,-18.860
51.325537229,-003.498194735,-18.835
51.325537114,-003.498191584,-18.786
51.325533046,-003.498167577,-18.808
51.325536541,-003.498139559,-18.811
51.325534020,-003.498136866,-18.809
51.325537802,-003.498116297,-18.818
51.325537057,-003.498099280,-18.833
51.325531270,-003.498077622,-18.824
51.325529838,-003.498048745,-18.830
51.325527775,-003.498046052,-18.812
51.325531729,-003.498029437,-18.833
51.325537745,-003.498011446,-18.924
51.325532416,-003.497993111,-19.067
51.325527088,-003.497973802,-19.231
51.325530984,-003.497958504,-19.283
51.325527947,-003.497926591,-19.256
51.325527718,-003.497922752,-19.267
51.325528577,-003.497896224,-19.288
51.325536312,-003.497874795,-19.268
51.325537172,-003.497851762,-19.121
51.325536828,-003.497838756,-19.134
51.325536026,-003.497831881,-19.161
51.325528577,-003.497814635,-19.154
51.325536713,-003.497785758,-19.239
51.325528577,-003.497775101,-19.258
51.325531900,-003.497758026,-19.306
51.325536198,-003.497725826,-19.274
51.325529208,-003.497709440,-19.211
51.325528806,-003.497702392,-19.219
51.325528004,-003.497687381,-19.255
51.325529322,-003.497667385,-19.320
51.325527775,-003.497647216,-19.364
51.325532302,-003.497618683,-19.328
51.325537458,-003.497615704,-19.310
51.325549032,-003.500161069,-17.358
51.325538260,-003.500139927,-17.336
51.325543703,-003.500117581,-17.366
51.325548631,-003.500098674,-17.293
51.325548860,-003.500082975,-17.214
51.325538948,-003.500075240,-17.240
51.325538432,-003.500058968,-17.281
51.325544735,-003.500039143,-17.332
51.325540094,-003.500007974,-17.332
51.325539750,-003.499989124,-17.137
51.325545938,-003.499971420,-16.881
51.325542386,-003.499959961,-16.830
51.325538375,-003.499950736,-16.867
51.325543933,-003.499917390,-16.786
51.325546110,-003.499914181,-16.781
51.325547829,-003.499163205,-17.932
51.325545594,-003.499158622,-17.935
51.325539750,-003.499141147,-17.984
51.325540781,-003.499110264,-17.970
51.325546396,-003.499105108,-17.968
51.325539979,-003.499086315,-17.993
51.325539578,-003.499068553,-18.026
51.325538088,-003.499050161,-18.046
51.325541354,-003.499033946,-18.158
51.325538318,-003.499008278,-18.189
51.325539463,-003.498994126,-18.243
51.325549089,-003.498818915,-17.903
51.325548230,-003.498798919,-17.940
51.325547657,-003.498785168,-17.985
51.325546683,-003.498763166,-18.057
51.325545938,-003.498746551,-18.100
51.325545250,-003.498730852,-18.159
51.325543761,-003.498696589,-18.189
51.325546339,-003.498693896,-18.200
51.325542959,-003.498677509,-18.331
51.325542099,-003.498658372,-18.397
51.325549032,-003.498638777,-18.379
51.325540552,-003.498623537,-18.536
51.325539693,-003.498604400,-18.583
51.325538318,-003.498572887,-18.574
51.325547886,-003.498556500,-18.540
51.325541182,-003.498538051,-18.455
51.325545422,-003.498520748,-18.087
51.325547599,-003.498514904,-18.485
51.325541583,-003.498494335,-18.672
51.325539922,-003.498462134,-18.719
51.325539865,-003.498460301,-18.710
51.325541412,-003.498441680,-18.786
51.325544792,-003.498411771,-18.567
51.325543073,-003.498402146,-18.718
51.325548459,-003.498386046,-18.613
51.325540036,-003.498364903,-18.702
51.325549146,-003.498351038,-18.673
51.325538432,-003.498332359,-18.800
51.325541068,-003.498310530,-18.802
51.325543245,-003.498284747,-18.765
51.325540380,-003.498274949,-18.804
51.325542959,-003.498261255,-18.830
51.325548402,-003.498243207,-18.817
51.325545881,-003.498225445,-18.809
51.325543646,-003.498193761,-18.779
51.325541583,-003.498188203,-18.799
51.325540151,-003.498168436,-18.780
51.325541526,-003.498141393,-18.824
51.325542672,-003.498122313,-18.808
51.325549146,-003.498108161,-18.818
51.325548516,-003.498097160,-18.838
51.325538661,-003.498084211,-18.888
51.325542042,-003.498055449,-18.861
51.325547886,-003.498032244,-18.860
51.325538031,-003.498018035,-18.850
51.325541583,-003.498012764,-18.915
51.325543818,-003.497993684,-19.117
51.325547542,-003.497975579,-19.186
51.325546454,-003.497951400,-19.252
51.325539406,-003.497930945,-19.248
51.325547256,-003.497922064,-19.339
51.325545651,-003.497887228,-19.292
51.325549261,-003.497870040,-19.154
51.325541641,-003.497853997,-19.093
51.325543990,-003.497851018,-19.113
51.325538260,-003.497833084,-19.144
51.325545537,-003.497809535,-19.227
51.325538948,-003.497786388,-19.249
51.325548860,-003.497768340,-19.246
